region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bollebygd,-120,-72,-978,430,499,-608,-848,1217,1675,1665,738,238,716,185,377,1030,815,2421,4132,3593,2862,232,2092,5855
Grastorp,309,-612,1053,535,71,-1234,-828,1888,1574,1016,1003,1053,479,1309,721,1147,1203,2338,1127,2281,1067,2115,4771,3426
Essunga,71,631,-25,941,46,125,1021,1445,1558,448,211,44,942,870,1069,1277,-468,1184,1721,1822,382,341,766,1790
Karlsborg,-1478,-3382,-518,-354,529,990,1224,371,1097,2684,1768,1064,521,703,1178,1018,2123,1466,2744,3039,1736,1289,2138,3501
Gullspang,-1396,11,-220,87,-1632,-1268,-922,496,1906,1159,-879,1068,1197,2293,1983,2446,1322,1320,1347,1754,-797,-2926,2375,3988
Tranemo,304,255,871,844,673,810,321,1425,758,1238,556,705,54,386,410,210,152,1196,1041,1771,352,525,1395,2824
Bengtsfors,-1165,-1944,458,-446,-278,768,532,661,15,35,178,252,59,-835,1728,1656,64,1872,3227,1142,-716,-2067,7974,1816
Mellerud,-502,-1122,-987,-574,98,-730,396,2010,1256,671,1178,795,548,1225,1726,1776,2155,1826,4898,2918,606,587,1760,5147
Lilla Edet,-467,-248,-641,-714,572,-123,-434,26,487,265,-51,338,406,527,166,52,-656,-656,-1086,1988,537,-1122,3024,4941
Mark,613,108,427,400,1419,754,253,313,844,1079,870,13,1047,396,1778,2586,1239,2025,2932,2411,1036,1387,1563,3034
Svenljunga,-955,-939,-173,2895,1267,312,-421,709,156,722,-2466,-98,1188,-1297,-1824,107,601,2359,654,677,1947,1222,3732,3165
Herrljunga,-268,-376,71,408,976,-208,-767,1278,572,18331,-1133,552,834,-599,327,2059,1122,1119,1982,2490,-242,797,2274,2134
Vara,403,415,1613,2121,803,1251,2026,1821,2711,1149,1033,1287,2863,2178,2128,1588,-1767,879,1646,161,422,1009,4242,5648
Gotene,476,102,1606,825,596,200,1155,800,52,46,581,940,164,272,786,1208,203,936,1545,333,2399,1099,2181,5556
